station area Latitude Longitude city
捷運科技大樓站 大安區 25.02605 121.5436 台北市
復興南路二段273號前 大安區 25.02565 121.54357 台北市
國北教大實小東側門 大安區 25.02429 121.54124 台北市
和平公園東側 大安區 25.02351 121.54282 台北市
辛亥復興路口西北側 大安區 25.02153 121.54299 台北市
復興南路二段280號前 大安區 25.02429 121.54328 台北市
復興南路二段340巷口 大安區 25.02253 121.54326 台北市
新生南路三段52號前 大安區 25.02112 121.53407 台北市
新生南路三段66號前 大安區 25.01976 121.53384 台北市
新生南路三段82號前 大安區 25.01894 121.53361 台北市
辛亥路一段30號前 大安區 25.01986 121.52982 台北市
和平復興路口西北側 大安區 25.02543 121.54332 台北市
羅斯福路三段311號前 大安區 25.01717 121.53202 台北市
大安運動中心停車場 大安區 25.020348 121.546446 台北市
羅斯福路三段245號前 大安區 25.01927 121.52989 台北市
溫州公園 大安區 25.01895 121.53156 台北市
和平臥龍街口 大安區 25.024461 121.546705 台北市
溫州停車場 大安區 25.02093 121.5331 台北市
銘傳國小側門 大安區 25.01385 121.53549 台北市
捷運公館站(2號出口) 大安區 25.01491 121.53438 台北市
第二學生活動中心 大安區 25.01244 121.53661 台北市
臺灣科技大學正門 大安區 25.01451 121.54142 台北市
臺灣科技大學側門 大安區 25.01295 121.53973 台北市
公館公園 大安區 25.01137 121.54062 台北市
臺灣科技大學後門 大安區 25.01182 121.54165 台北市
臺大醫學院附設癌醫中心 大安區 25.01426 121.54382 台北市
臺大環研大樓 大安區 25.01234 121.54503 台北市
臺大永齡生醫工程館 大安區 25.0136 121.54656 台北市
臺大男七舍前 大安區 25.01537 121.54698 台北市
臺大男一舍前 大安區 25.01637 121.54535 台北市
臺大男六舍前 大安區 25.01664 121.5452 台北市
臺大動物醫院前 大安區 25.01576 121.54291 台北市
臺大土木研究大樓前 大安區 25.01787 121.5476 台北市
臺大萬才館前 大安區 25.02032 121.54497 台北市
臺大國青大樓宿舍前 大安區 25.02076 121.54432 台北市
臺大社科院圖書館前 大安區 25.02101 121.54284 台北市
臺大法人語言訓練中心前 大安區 25.02104 121.54081 台北市
臺大綜合體育館停車場前 大安區 25.0222 121.53626 台北市
辛亥新生路口東南側 大安區 25.02218 121.53474 台北市
基隆長興路口東側 大安區 25.01727 121.54471 台北市
國北教大側門南側 大安區 25.022864 121.546622 台北市
和平實小東北側 大安區 25.021641 121.54704 台北市
大安區健康服務中心 大安區 25.021469 121.544069 台北市
辛亥泰順街口 大安區 25.02193 121.53165 台北市
芳和國中 大安區 25.0189 121.55013 台北市
臥龍樂業街口 大安區 25.01856 121.55558 台北市
臥龍公園 大安區 25.01623 121.55037 台北市
嘉興公園 大安區 25.021 121.55211 台北市
捷運麟光站(2號出口) 大安區 25.0181 121.55929 台北市
捷運六張犁站 大安區 25.02397 121.55266 台北市
喬治工商 大安區 25.02705 121.55551 台北市
法治公園 大安區 25.02694 121.55325 台北市
捷運臺電大樓站(2號出口) 大安區 25.02021 121.52942 台北市
和平金山路口 大安區 25.02669 121.52529 台北市
和平龍泉街口 大安區 25.02638 121.52971 台北市
和平泰順街口 大安區 25.02621 121.53171 台北市
臺灣師範大學(圖書館) 大安區 25.0266 121.52973 台北市
